pb_folder,n,pct
1 - Climate Change,83,11.93
2 - Ocean Acidification,74,10.63
3 - Stratospheric Ozone Depletion,79,11.35
4 - Biogeochemical Flows,76,10.92
5 - Global Freshwater Use,66,9.48
6 - Land System Change,90,12.93
7 - Biosphere Integrity,69,9.91
8 - Novel Entities,76,10.92
9 - Atmospheric Aerosol Loading,83,11.93
