pb_folder,n_docs
1 - Climate Change,83
2 - Ocean Acidification,74
3 - Stratospheric Ozone Depletion,79
4 - Biogeochemical Flows,76
5 - Global Freshwater Use,66
6 - Land System Change,90
7 - Biosphere Integrity,69
8 - Novel Entities,76
9 - Atmospheric Aerosol Loading,83
