reason_combo,n
abstract_too_short<500,260
abstract_empty|language_unknown,6
language_not_english:fr,4
abstract_too_short<500|language_not_english:fr,2
abstract_too_short<500|language_not_english:pt,2
abstract_too_short<500|language_not_english:de,2
language_low_confidence:0.57,2
language_low_confidence:0.55,1
abstract_too_short<500|language_not_english:it,1
abstract_too_short<500|language_not_english:ro,1
language_not_english:es,1
language_not_english:ru,1
