pb_folder,1 - Climate Change,2 - Ocean Acidification,3 - Stratospheric Ozone Depletion,4 - Biogeochemical Flows,5 - Global Freshwater Use,6 - Land System Change,7 - Biosphere Integrity,8 - Novel Entities,9 - Atmospheric Aerosol Loading
1 - Climate Change,1.0,0.32292384918639305,0.05782375775715545,0.09079575607128748,0.18391251570807768,0.16851865497302396,0.0,0.031252313078102875,0.0
2 - Ocean Acidification,0.32292384918639305,1.0,0.0,0.20740102834043503,0.12211014386482823,0.04789715073818474,0.06729428313378626,0.0,0.0
3 - Stratospheric Ozone Depletion,0.05782375775715545,0.0,1.0,0.0,0.05683164966459422,0.03379373953310108,0.0,0.03309680522559463,0.03413915623514047
4 - Biogeochemical Flows,0.09079575607128748,0.20740102834043503,0.0,0.9999999999999998,0.2356370753160156,0.15341772604075898,0.0,0.0,0.09360524247799695
5 - Global Freshwater Use,0.18391251570807768,0.12211014386482823,0.05683164966459422,0.2356370753160156,1.0000000000000002,0.12931909941692235,0.04558078149086386,0.06297228224762069,0.0
6 - Land System Change,0.16851865497302396,0.04789715073818474,0.03379373953310108,0.15341772604075898,0.12931909941692235,1.0,0.08284122534485266,0.0,0.0
7 - Biosphere Integrity,0.0,0.06729428313378626,0.0,0.0,0.04558078149086386,0.08284122534485266,1.0,0.0,0.0
8 - Novel Entities,0.031252313078102875,0.0,0.03309680522559463,0.0,0.06297228224762069,0.0,0.0,0.9999999999999998,0.0
9 - Atmospheric Aerosol Loading,0.0,0.0,0.03413915623514047,0.09360524247799695,0.0,0.0,0.0,0.0,1.0000000000000002
