pb_folder,count,mean,median,std,min,max
1 - Climate Change,83,212.9156626506024,194.0,124.56110311901655,63,969
2 - Ocean Acidification,74,256.7972972972973,223.5,172.34752878276743,76,990
3 - Stratospheric Ozone Depletion,79,289.0126582278481,245.0,214.20350338721366,67,1705
4 - Biogeochemical Flows,76,265.2105263157895,243.0,164.1100700375187,62,916
5 - Global Freshwater Use,66,281.25757575757575,238.0,189.20061071669693,64,1003
6 - Land System Change,90,239.85555555555555,232.0,108.22568607355826,57,528
7 - Biosphere Integrity,69,202.0144927536232,177.0,99.24531293624119,71,522
8 - Novel Entities,76,200.1184210526316,183.0,109.38859990635993,60,725
9 - Atmospheric Aerosol Loading,83,281.06024096385545,271.0,158.4346714177749,11,1397
