year,n
1904,1
1908,1
1936,1
1942,1
1949,1
1956,2
1960,1
1962,1
1970,5
1971,1
1978,1
1979,1
1985,1
1986,2
1988,3
1990,1
1992,5
1993,1
1994,2
1995,6
1996,3
1997,4
1998,1
1999,4
2000,9
2001,3
2002,6
2003,9
2004,11
2005,9
2006,9
2007,16
2008,24
2009,14
2010,34
2011,26
2012,27
2013,28
2014,34
2015,37
2016,39
2017,29
2018,39
2019,49
2020,50
2021,43
2022,43
2023,32
2024,12
2030,1
2050,2
2053,1
2077,1
