cluster_id,tema_auto,n_docs,pct_docs
4,"Tema 4: aerosol, ocean, ozone, surface",214,30.57
0,"Tema 0: research, environmental, systems, change",206,29.43
2,"Tema 2: climate, change, land, water",185,26.43
1,"Tema 1: species, marine, different, ecosystem",87,12.43
3,"Tema 3: flow, vegetation, density, seagrass",4,0.57
5,"Tema 5: lake, ozone, yellowstone, basin",4,0.57
